Region,Country,CountryID,Industry,Edition,Category,ParentID,Subcategory,ProductID,Lowest Level,Modelled,Hierarchy Level,Data Type,DataTypeID,Unit,Unit Multiplier,Current/Constant,Currency Conversion,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Asia Pacific,Malaysia,314,Packaged Food,2015,Ice Cream,160660,  Ice Cream,160660,no,no,1,Retail Volume (Tonnes),911,000 tonnes,1000,,Volume,25.345809,25.87666844,26.30506879,26.78956053,27.39690974,28.28503559,29.06169803,29.7155798,30.52969834,31.30228036,32.74772544,34.19611279,35.7227603,37.01190872,38.25920191,39.46885845,40.72864457,42.05258914,43.40984029,44.78875316
Asia Pacific,Malaysia,314,Packaged Food,2015,Ice Cream,160660,  Ice Cream,160660,no,no,1,Total Volume,3,million litres,1000000,,Volume,42.193215,43.3885282,44.30276399,44.78778647,45.78564963,47.21207261,48.51664779,49.69148322,51.13419516,52.41637823,54.77220972,57.07677975,59.57279901,61.68635821,63.78470069,65.88942739,68.12459375,70.48330517,72.92294956,75.44010464
Asia Pacific,Malaysia,314,Packaged Food,2015,Ice Cream,160660,  Ice Cream,160660,no,no,1,Total Volume (Tonnes),913,000 tonnes,1000,,Volume,33.007054,33.93632744,34.63904879,34.92366053,35.67696774,36.75520074,37.75167271,38.66294177,39.78258156,40.75122101,42.59823119,44.39589454,46.31795069,47.96384681,49.60792785,51.24760872,52.97375266,54.80385112,56.70901632,58.68382889
Asia Pacific,Malaysia,314,Packaged Food,2015,Ice Cream,160660,  Ice Cream,160660,no,no,1,Retail Value RSP,410,USD million,1000000,"Historic Constant 2014 Prices, Forecast Constant 2014 Prices","Historic Fixed 2014 Exchange Rates, Forecast Fixed 2014 Exchange Rates",148.7552085,152.270532,153.9434043,157.3208013,160.2511748,162.1496445,161.9792015,164.6268967,163.809477,165.9321555,171.822704,174.8583202,180.8865796,184.251912,186.2312637,188.1922947,190.7263211,193.5364981,196.3836682,199.2330452
Asia Pacific,Pakistan,332,Packaged Food,2015,Ice Cream,160660,  Ice Cream,160660,no,no,1,Retail Volume,1,million litres,1000000,,Volume,17.9766254,19.49350486,21.19698887,23.05930571,25.19357891,27.53010515,38.79849845,41.55871802,43.02445624,44.40206174,45.84009783,47.60068896,49.4129964,51.17467369,53.72126415,56.87593239,60.46918605,64.1521129,67.97464861,71.97800339
Asia Pacific,Pakistan,332,Packaged Food,2015,Ice Cream,160660,  Ice Cream,160660,no,no,1,Retail Volume (Tonnes),911,000 tonnes,1000,,Volume,12.63743282,13.70324465,14.90059954,16.20915671,17.70806248,19.3491644,27.62763327,29.59702067,30.64404491,31.63153356,32.66078529,33.91695868,35.21049906,36.46866635,38.28683212,40.53058087,43.08209393,45.6945707,48.40263513,51.23608915
Asia Pacific,Pakistan,332,Packaged Food,2015,Ice Cream,160660,  Ice Cream,160660,no,no,1,Total Volume,3,million litres,1000000,,Volume,18.2950559,19.84412366,21.57956798,23.47396276,25.64018239,28.01806522,39.33726968,42.14862556,43.6546785,45.04760067,46.50228747,48.27807864,50.10394686,51.87807546,54.43527701,57.59928942,61.19988654,64.8880871,68.71446475,72.72020396
Asia Pacific,Pakistan,332,Packaged Food,2015,Ice Cream,160660,  Ice Cream,160660,no,no,1,Total Volume (Tonnes),913,000 tonnes,1000,,Volume,12.95586331,14.05386345,15.28317865,16.62381375,18.15466596,19.83712448,28.1664045,30.1869282,31.27426717,32.27707249,33.32297492,34.59434835,35.90144952,37.17206812,39.00084499,41.25393791,43.81279442,46.4305449,49.14245127,51.97828971
Asia Pacific,Pakistan,332,Packaged Food,2015,Ice Cream,160660,  Ice Cream,160660,no,no,1,Retail Value RSP,410,USD million,1000000,"Historic Constant 2014 Prices, Forecast Constant 2014 Prices","Historic Fixed 2014 Exchange Rates, Forecast Fixed 2014 Exchange Rates",59.48732202,63.96484864,70.06309468,75.99227182,82.98618395,92.33812049,128.9953217,140.7161107,127.2895551,121.0716504,116.2898685,113.2961338,113.6125171,116.3720951,118.5184269,124.0482931,130.7443531,137.8957648,145.5388505,153.7787842
Asia Pacific,Philippines,331,Packaged Food,2015,Ice Cream,160660,  Ice Cream,160660,no,no,1,Retail Volume,1,million litres,1000000,,Volume,55.166232,52.78750392,53.91899115,54.71702201,55.32662013,56.02620668,56.90895387,57.96146992,59.05971126,60.05003993,61.61082603,64.3482977,67.36185582,68.69067347,70.01387676,71.42778373,72.75261667,74.50177123,76.64120813,79.06406612
